Domain;Country;Element;Item;Year;Unit;Value
Food Supply - Livestock and Fish Primary Equivalent;Belarus;Food supply quantity (kg/capita/yr);Bovine Meat;2012;kg;19.27
Food Supply - Livestock and Fish Primary Equivalent;Belarus;Food supply quantity (kg/capita/yr);Bovine Meat;2013;kg;17.11
Food Supply - Livestock and Fish Primary Equivalent;Belarus;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2004;kg;0.15
Food Supply - Livestock and Fish Primary Equivalent;Belarus;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2005;kg;0.1
Food Supply - Livestock and Fish Primary Equivalent;Belarus;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2006;kg;0.1
Food Supply - Livestock and Fish Primary Equivalent;Belarus;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2007;kg;0.1
Food Supply - Livestock and Fish Primary Equivalent;Belarus;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2008;kg;0.1
Food Supply - Livestock and Fish Primary Equivalent;Belarus;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2009;kg;0.1
Food Supply - Livestock and Fish Primary Equivalent;Belarus;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2010;kg;0.11
Food Supply - Livestock and Fish Primary Equivalent;Belarus;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2011;kg;0.11
Food Supply - Livestock and Fish Primary Equivalent;Belarus;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2012;kg;0.11
Food Supply - Livestock and Fish Primary Equivalent;Belarus;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2013;kg;0.11
Food Supply - Livestock and Fish Primary Equivalent;Belarus;Food supply quantity (kg/capita/yr);Pigmeat;2004;kg;28.68
Food Supply - Livestock and Fish Primary Equivalent;Belarus;Food supply quantity (kg/capita/yr);Pigmeat;2005;kg;26.07
Food Supply - Livestock and Fish Primary Equivalent;Belarus;Food supply quantity (kg/capita/yr);Pigmeat;2006;kg;29.14
Food Supply - Livestock and Fish Primary Equivalent;Belarus;Food supply quantity (kg/capita/yr);Pigmeat;2007;kg;32.68
Food Supply - Livestock and Fish Primary Equivalent;Belarus;Food supply quantity (kg/capita/yr);Pigmeat;2008;kg;34.8
Food Supply - Livestock and Fish Primary Equivalent;Belarus;Food supply quantity (kg/capita/yr);Pigmeat;2009;kg;36.36
Food Supply - Livestock and Fish Primary Equivalent;Belarus;Food supply quantity (kg/capita/yr);Pigmeat;2010;kg;39.97
Food Supply - Livestock and Fish Primary Equivalent;Belarus;Food supply quantity (kg/capita/yr);Pigmeat;2011;kg;41.21
Food Supply - Livestock and Fish Primary Equivalent;Belarus;Food supply quantity (kg/capita/yr);Pigmeat;2012;kg;40.44
Food Supply - Livestock and Fish Primary Equivalent;Belarus;Food supply quantity (kg/capita/yr);Pigmeat;2013;kg;40.37
Food Supply - Livestock and Fish Primary Equivalent;Belarus;Food supply quantity (kg/capita/yr);Poultry Meat;2004;kg;11.34
Food Supply - Livestock and Fish Primary Equivalent;Belarus;Food supply quantity (kg/capita/yr);Poultry Meat;2005;kg;13.16
Food Supply - Livestock and Fish Primary Equivalent;Belarus;Food supply quantity (kg/capita/yr);Poultry Meat;2006;kg;16.41
Food Supply - Livestock and Fish Primary Equivalent;Belarus;Food supply quantity (kg/capita/yr);Poultry Meat;2007;kg;18.02
Food Supply - Livestock and Fish Primary Equivalent;Belarus;Food supply quantity (kg/capita/yr);Poultry Meat;2008;kg;20.92
Food Supply - Livestock and Fish Primary Equivalent;Belarus;Food supply quantity (kg/capita/yr);Poultry Meat;2009;kg;22.18
Food Supply - Livestock and Fish Primary Equivalent;Belarus;Food supply quantity (kg/capita/yr);Poultry Meat;2010;kg;24.56
Food Supply - Livestock and Fish Primary Equivalent;Belarus;Food supply quantity (kg/capita/yr);Poultry Meat;2011;kg;25.24
Food Supply - Livestock and Fish Primary Equivalent;Belarus;Food supply quantity (kg/capita/yr);Poultry Meat;2012;kg;28.74
Food Supply - Livestock and Fish Primary Equivalent;Belarus;Food supply quantity (kg/capita/yr);Poultry Meat;2013;kg;31.29
Food Supply - Livestock and Fish Primary Equivalent;Belgium;Food supply quantity (kg/capita/yr);Bovine Meat;2004;kg;19.61
Food Supply - Livestock and Fish Primary Equivalent;Belgium;Food supply quantity (kg/capita/yr);Bovine Meat;2005;kg;18.72
Food Supply - Livestock and Fish Primary Equivalent;Belgium;Food supply quantity (kg/capita/yr);Bovine Meat;2006;kg;20.66
Food Supply - Livestock and Fish Primary Equivalent;Belgium;Food supply quantity (kg/capita/yr);Bovine Meat;2007;kg;20.59
Food Supply - Livestock and Fish Primary Equivalent;Belgium;Food supply quantity (kg/capita/yr);Bovine Meat;2008;kg;19.15
Food Supply - Livestock and Fish Primary Equivalent;Belgium;Food supply quantity (kg/capita/yr);Bovine Meat;2009;kg;18.27
Food Supply - Livestock and Fish Primary Equivalent;Belgium;Food supply quantity (kg/capita/yr);Bovine Meat;2010;kg;18.19
Food Supply - Livestock and Fish Primary Equivalent;Belgium;Food supply quantity (kg/capita/yr);Bovine Meat;2011;kg;16.15
Food Supply - Livestock and Fish Primary Equivalent;Belgium;Food supply quantity (kg/capita/yr);Bovine Meat;2012;kg;15.82
Food Supply - Livestock and Fish Primary Equivalent;Belgium;Food supply quantity (kg/capita/yr);Bovine Meat;2013;kg;15.63
Food Supply - Livestock and Fish Primary Equivalent;Belgium;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2004;kg;1.64
Food Supply - Livestock and Fish Primary Equivalent;Belgium;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2005;kg;1.66
Food Supply - Livestock and Fish Primary Equivalent;Belgium;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2006;kg;1.47
Food Supply - Livestock and Fish Primary Equivalent;Belgium;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2007;kg;1.47
Food Supply - Livestock and Fish Primary Equivalent;Belgium;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2008;kg;1.57
Food Supply - Livestock and Fish Primary Equivalent;Belgium;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2009;kg;1.33
Food Supply - Livestock and Fish Primary Equivalent;Belgium;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2010;kg;1.41
Food Supply - Livestock and Fish Primary Equivalent;Belgium;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2011;kg;1.49
Food Supply - Livestock and Fish Primary Equivalent;Belgium;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2012;kg;1.22
Food Supply - Livestock and Fish Primary Equivalent;Belgium;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2013;kg;1.32
Food Supply - Livestock and Fish Primary Equivalent;Belgium;Food supply quantity (kg/capita/yr);Pigmeat;2004;kg;33.81
Food Supply - Livestock and Fish Primary Equivalent;Belgium;Food supply quantity (kg/capita/yr);Pigmeat;2005;kg;34.6
Food Supply - Livestock and Fish Primary Equivalent;Belgium;Food supply quantity (kg/capita/yr);Pigmeat;2006;kg;32.04
Food Supply - Livestock and Fish Primary Equivalent;Belgium;Food supply quantity (kg/capita/yr);Pigmeat;2007;kg;33.98
Food Supply - Livestock and Fish Primary Equivalent;Belgium;Food supply quantity (kg/capita/yr);Pigmeat;2008;kg;32.93
Food Supply - Livestock and Fish Primary Equivalent;Belgium;Food supply quantity (kg/capita/yr);Pigmeat;2009;kg;33.48
Food Supply - Livestock and Fish Primary Equivalent;Belgium;Food supply quantity (kg/capita/yr);Pigmeat;2010;kg;36.05
Food Supply - Livestock and Fish Primary Equivalent;Belgium;Food supply quantity (kg/capita/yr);Pigmeat;2011;kg;35.1
Food Supply - Livestock and Fish Primary Equivalent;Belgium;Food supply quantity (kg/capita/yr);Pigmeat;2012;kg;40.4
Food Supply - Livestock and Fish Primary Equivalent;Belgium;Food supply quantity (kg/capita/yr);Pigmeat;2013;kg;38.65
Food Supply - Livestock and Fish Primary Equivalent;Belgium;Food supply quantity (kg/capita/yr);Poultry Meat;2004;kg;21.8
Food Supply - Livestock and Fish Primary Equivalent;Belgium;Food supply quantity (kg/capita/yr);Poultry Meat;2005;kg;25
Food Supply - Livestock and Fish Primary Equivalent;Belgium;Food supply quantity (kg/capita/yr);Poultry Meat;2006;kg;22.77
Food Supply - Livestock and Fish Primary Equivalent;Belgium;Food supply quantity (kg/capita/yr);Poultry Meat;2007;kg;24.81
Food Supply - Livestock and Fish Primary Equivalent;Belgium;Food supply quantity (kg/capita/yr);Poultry Meat;2008;kg;13.01
Food Supply - Livestock and Fish Primary Equivalent;Belgium;Food supply quantity (kg/capita/yr);Poultry Meat;2009;kg;11.09
Food Supply - Livestock and Fish Primary Equivalent;Belgium;Food supply quantity (kg/capita/yr);Poultry Meat;2010;kg;11.9
Food Supply - Livestock and Fish Primary Equivalent;Belgium;Food supply quantity (kg/capita/yr);Poultry Meat;2011;kg;12.66
Food Supply - Livestock and Fish Primary Equivalent;Belgium;Food supply quantity (kg/capita/yr);Poultry Meat;2012;kg;12.69
Food Supply - Livestock and Fish Primary Equivalent;Belgium;Food supply quantity (kg/capita/yr);Poultry Meat;2013;kg;12.2
Food Supply - Livestock and Fish Primary Equivalent;Bosnia and Herzegovina;Food supply quantity (kg/capita/yr);Bovine Meat;2004;kg;6.28
Food Supply - Livestock and Fish Primary Equivalent;Bosnia and Herzegovina;Food supply quantity (kg/capita/yr);Bovine Meat;2005;kg;7.94
Food Supply - Livestock and Fish Primary Equivalent;Bosnia and Herzegovina;Food supply quantity (kg/capita/yr);Bovine Meat;2006;kg;7.73
Food Supply - Livestock and Fish Primary Equivalent;Bosnia and Herzegovina;Food supply quantity (kg/capita/yr);Bovine Meat;2007;kg;7.67
Food Supply - Livestock and Fish Primary Equivalent;Bosnia and Herzegovina;Food supply quantity (kg/capita/yr);Bovine Meat;2008;kg;8.65
Food Supply - Livestock and Fish Primary Equivalent;Bosnia and Herzegovina;Food supply quantity (kg/capita/yr);Bovine Meat;2009;kg;8.62
Food Supply - Livestock and Fish Primary Equivalent;Bosnia and Herzegovina;Food supply quantity (kg/capita/yr);Bovine Meat;2010;kg;9.1
Food Supply - Livestock and Fish Primary Equivalent;Bosnia and Herzegovina;Food supply quantity (kg/capita/yr);Bovine Meat;2011;kg;9.56
Food Supply - Livestock and Fish Primary Equivalent;Bosnia and Herzegovina;Food supply quantity (kg/capita/yr);Bovine Meat;2012;kg;8.89
Food Supply - Livestock and Fish Primary Equivalent;Bosnia and Herzegovina;Food supply quantity (kg/capita/yr);Bovine Meat;2013;kg;9.12
Food Supply - Livestock and Fish Primary Equivalent;Bosnia and Herzegovina;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2004;kg;0.46
Food Supply - Livestock and Fish Primary Equivalent;Bosnia and Herzegovina;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2005;kg;0.53
Food Supply - Livestock and Fish Primary Equivalent;Bosnia and Herzegovina;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2006;kg;0.57
Food Supply - Livestock and Fish Primary Equivalent;Bosnia and Herzegovina;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2007;kg;0.53
Food Supply - Livestock and Fish Primary Equivalent;Bosnia and Herzegovina;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2008;kg;0.5
Food Supply - Livestock and Fish Primary Equivalent;Bosnia and Herzegovina;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2009;kg;0.51
Food Supply - Livestock and Fish Primary Equivalent;Bosnia and Herzegovina;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2010;kg;0.6
Food Supply - Livestock and Fish Primary Equivalent;Bosnia and Herzegovina;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2011;kg;0.69
Food Supply - Livestock and Fish Primary Equivalent;Bosnia and Herzegovina;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2012;kg;0.64
Food Supply - Livestock and Fish Primary Equivalent;Bosnia and Herzegovina;Food supply quantity (kg/capita/yr);Mutton & Goat Meat;2013;kg;0.47
Food Supply - Livestock and Fish Primary Equivalent;Bosnia and Herzegovina;Food supply quantity (kg/capita/yr);Pigmeat;2004;kg;5.02
Food Supply - Livestock and Fish Primary Equivalent;Bosnia and Herzegovina;Food supply quantity (kg/capita/yr);Pigmeat;2005;kg;5.76
Food Supply - Livestock and Fish Primary Equivalent;Bosnia and Herzegovina;Food supply quantity (kg/capita/yr);Pigmeat;2006;kg;5.29
Food Supply - Livestock and Fish Primary Equivalent;Bosnia and Herzegovina;Food supply quantity (kg/capita/yr);Pigmeat;2007;kg;5.14
Food Supply - Livestock and Fish Primary Equivalent;Bosnia and Herzegovina;Food supply quantity (kg/capita/yr);Pigmeat;2008;kg;5.1
Food Supply - Livestock and Fish Primary Equivalent;Bosnia and Herzegovina;Food supply quantity (kg/capita/yr);Pigmeat;2009;kg;6.74
Food Supply - Livestock and Fish Primary Equivalent;Bosnia and Herzegovina;Food supply quantity (kg/capita/yr);Pigmeat;2010;kg;7.85
Food Supply - Livestock and Fish Primary Equivalent;Bosnia and Herzegovina;Food supply quantity (kg/capita/yr);Pigmeat;2011;kg;9
Food Supply - Livestock and Fish Primary Equivalent;Bosnia and Herzegovina;Food supply quantity (kg/capita/yr);Pigmeat;2012;kg;9.61
Food Supply - Livestock and Fish Primary Equivalent;Bosnia and Herzegovina;Food supply quantity (kg/capita/yr);Pigmeat;2013;kg;9.38
